41 AL ALABAMA
81 AK ALASKA  
61 AZ ARIZONA 
42 AR ARKANSAS 
71 CA CALIFORNIA
62 CO COLORADO 
01 CT CONNECTICUT
11 DE DELAWARE 
43 FL FLORIDA 
44 GA GEORGIA 
82 HI HAWAII  
63 ID IDAHO   
21 IL ILLINOIS 
22 IN INDIANA 
31 IA IOWA    
32 KS KANSAS  
51 KY KENTUCKY 
45 LA LOUISIANA 
02 ME MAINE   
52 MD MARYLAND 
03 MA MASSACHUSETTS 
23 MI MICHIGAN 
33 MN MINNESOTA 
46 MS MISSISSIPPI 
34 MO MISSOURI 
64 MT MONTANA 
35 NE NEBRASKA 
65 NV NEVADA  
04 NH NEW HAMSHIRE 
12 NJ NEW JERSEY 
66 NM NEW MEXICO 
13 NY NEW YORK 
47 NC NORTH CAROLINA 
36 ND NORTH DAKOTA 
24 OH OHIO    
53 OK OKLAHOMA 
72 OR OREGON  
14 PA PENNSYLVANIA 
05 RI RHODE ISLAND 
48 SC SOUTH CAROLINA 
37 SD SOUTH DAKOTA 
54 TN TENNESSEE 
49 TX TEXAS   
67 UT UTAH    
06 VT VERMONT 
40 VA VIRGINIA 
73 WA WASHINGTON 
56 WV WEST VIRGINA 
25 WI WISCONSIN 
68 WY WYOMING 
55 DC DISTRICT OF COLUMBIA
99 US UNITED STATES
