date,session,number,bill,question,result,description,yeatotal,naytotal
2007-01-08,1,1,S.Res. 19,On the Resolution,Agreed to,S. Res. 19; A resolution honoring President Gerald Rudolph Ford.,88,0
2007-01-10,1,2,S. 1,On the Amendment S.Amdt. 7,Agreed to,"Vitter Amdt No. 7; To amend the Ethics in Government Act of 1978 to establish criminal penalties for knowingly and willfully falsifying or failing to file or report certain information required to be reported under that Act, and for other purposes.",93,2
2007-01-10,1,3,S. 1,On the Motion to Table S.Amdt. 5,Agreed to,Motion to Table Vitter Amdt. No. 5; To modify the application of the Federal Election Campaign Act of 1971 to Indian tribes.,56,40
2007-01-10,1,4,S. 1,On the Motion to Table S.Amdt. 6,Agreed to,Motion to Table Vitter Amdt. No. 6; to prohibit authorized committees and leadership PACs from employing the spouse or immediate family members of any candidate or Federal office holder connected to the committee.,54,41
2007-01-11,1,5,S. 1,On the Motion to Table S.Amdt. 11,Rejected,Motion to Table DeMint Amdt. No. 11; To strengthen earmark reform.,46,51
2007-01-11,1,6,S. 1,On the Motion S.Amdt. 13,Rejected,Motion to Waive CBA DeMint Amdt. No. 13; To prevent government shutdowns.,25,72
2007-01-11,1,7,S. 1,On the Motion,Agreed to,Motion to Instruct Sgt. at Arms; Honest Leadership and Open Government Act of 2007,90,6
2007-01-12,1,8,S. 1,On the Amendment S.Amdt. 1,Agreed to,"Kerry Amdt. No. 1, As Modified; To amend title 5, United States Code, to deny Federal retirement benefits to individuals convicted of certain offenses, and for other purposes.",87,0
2007-01-12,1,9,S. 1,On the Amendment S.Amdt. 10,Agreed to,Vitter Amdt. No. 10; To increase the penalty for failure to comply with lobbying disclosure requirements.,81,6
2007-01-16,1,10,S. 1,On the Amendment S.Amdt. 44,Agreed to,Durbin Amdt. No. 44 As Modified; To strengthen earmark reform.,98,0
2007-01-16,1,11,S. 1,On the Amendment S.Amdt. 11,Agreed to,"Demint Amdt. No. 11, As amended; To strengthen earmark reform.",98,0
2007-01-16,1,12,S. 1,On the Cloture Motion S.Amdt. 4,Agreed to,Motion to Invoke Cloture on the Reid Amdt. No. 4 to S.1; To strengthen the gift and travel bans.,95,2
