date,session,number,bill,question,result,description,yeatotal,naytotal
2007-01-04,1st,1,QUORUM,Call by States,Passed,,0,0
2007-01-04,1st,2,,Election of the Speaker,Pelosi,,,
2007-01-04,1st,3,H RES 5,On Ordering the Previous Question,Passed,"Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress",222,197
2007-01-04,1st,4,H RES 5,On Motion to Commit with Instructions,Failed,"Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress",199,232
2007-01-04,1st,5,H RES 5,On Agreeing to the Resolution,Passed,"Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress",235,195
2007-01-04,1st,6,H RES 6,On adoption of Title I of the Resolution,Passed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,426,0
2007-01-04,1st,7,H RES 6,On adoption of Title 2 of the Resolution,Passed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,430,1
2007-01-05,1st,8,H RES 6,On adoption of Title 3 of the Resolution,Passed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,430,0
2007-01-05,1st,9,H RES 6,On adoption of Title 4 of the Resolution,Passed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,280,152
2007-01-05,1st,10,H RES 6,On Motion to Commit with Instructions,Failed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,200,232
2007-01-05,1st,11,H RES 6,On adoption of Title 5 of the resolution,Passed,Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,232,200
2007-01-09,1st,12,H RES 35,On Motion to Recommit,Failed,To enhance intelligence oversight authority,195,232
2007-01-09,1st,13,H RES 35,On Agreeing to the Resolution,Passed,To enhance intelligence oversight authority,239,188
2007-01-09,1st,14,H R 1,On Motion to Recommit with Instructions,Failed,Implementing the 9/11Commission Recommendations Act,198,230
2007-01-09,1st,15,H R 1,On Passage,Passed,Implementing the 9/11Commission Recommendations Act,299,128
2007-01-10,1st,16,H R 2,On Motion to Table the Appeal of the Ruling of the Chair,Passed,Fair Minimum Wage Act,232,197
2007-01-10,1st,17,H R 2,On Motion to Recommit with Instructions,Failed,Fair Minimum Wage Act,144,287
2007-01-10,1st,18,H R 2,On Passage,Passed,Fair Minimum Wage Act,315,116
2007-01-11,1st,19,H R 3,On Motion to Recommit with Instructions,Failed,Stem Cell Research Enhancement Act,189,238
2007-01-11,1st,20,H R 3,On Passage,Passed,Stem Cell Research Enhancement Act,253,174
2007-01-11,1st,21,H RES 15,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Mourning the passing of President Gerald Rudolph Ford and celebrating his leadership and service to the people of the United States,423,0
2007-01-12,1st,22,H R 4,On Motion to Recommit with Instructions,Failed,Medicare Prescription Drug Price Negotiation Act,196,229
2007-01-12,1st,23,H R 4,On Passage,Passed,Medicare Prescription Drug Price Negotiation Act,255,170
2007-01-16,1st,24,H RES 61,On Motion to Suspend the Rules and Agree,Passed,"Observing the Birthday of Martin Luther King, Jr., and encouraging the people of the United States to observe the Birthday of Martin Luther King, Jr., and the life and legacy of Dr. Martin Luther King Jr., and for other purposes.",418,0
2007-01-16,1st,25,H RES 39,"On Motion to Suspend the Rules and Agree, as amended",Passed,Commending the University of Florida Gators for their victory in the 2006 Bowl Championship Series (BCS) and for winning the national college football championship.,414,1
2007-01-16,1st,26,H RES 43,On Motion to Suspend the Rules and Agree,Passed,Commending the Boise State University Broncos football team for winning the 2007 Fiesta Bowl and completing an undefeated season.,415,0
2007-01-17,1st,27,H CON RES 31,On Motion to Suspend the Rules and Agree,Passed,Honoring the Mare Island Original 21ers for their efforts to remedy racial discrimination in employment at Mare Island Naval Shipyard.,416,0
2007-01-17,1st,28,H R 434,On Motion to Suspend the Rules and Pass,Passed,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958 through December 31, 2007, and for other purposes",413,2
2007-01-17,1st,29,H RES 65,On Ordering the Previous Question,Passed,"Providing for the consideration of H.R. 5, College Student Relief Act",225,191
2007-01-17,1st,30,H RES 65,On Agreeing to the Resolution,Passed,"Providing for the consideration of H.R. 5, College Student Relief Act",223,190
2007-01-17,1st,31,H R 5,On Motion to Recommit with Instructions,Failed,College Student Relief Act,186,241
2007-01-17,1st,32,H R 5,On Passage,Passed,College Student Relief Act,356,71
2007-01-17,1st,33,H RES 58,On Motion to Suspend the Rules and Agree,Passed,"To honor Muhammad Ali, global humanitarian, on the occasion of his 65th birthday and to extend best wishes to him and his family",421,0
2007-01-18,1st,34,ADJOURN,On Motion to Adjourn,Failed,,184,233
2007-01-18,1st,35,H RES 66,On Ordering the Previous Question,Passed,"Providing for the consideration of H.R. 6, Creating Long-Term Energy Alternatives for the Nation Act",231,194
